red,pink,orange,yellow,green,blue,purple,brown,white,gray,black,gold,silver
정열,부드러움,즐거움,깨달음,자연,희망,예술적,부드러움,빛,중립,고급,태양,하이테크놀로지
활력,달콤함,유쾌함,낙관주의,생명,청춘,낭만적,완화,청결,성숙,엄숙,신성,현대문명
적극성,섬세함,따뜻함,친절,건강,이성,풍요,겸손,완벽함,끈기,권력,찬란,현대적
외향적,사랑스러움,사교적,유쾌함,평화,잔잔함,고급,든든,명료함,신중,세련된,화련한,순수
자유,귀여움,자비,황제,자유,신뢰,독창적,맛있는,신뢰성,조용함,우아한,부귀영화,빠른속도감
증오,경박함,변덕스러움,질투,미성숙,슬픔,사치,낡은,무서움,애매함,어두움,허영,이차적
상처,못미더움,허풍,시기,무료함,우울,단념,촌스러움,두려움,불분명,죽음,사치,경멸스러움
시끄러움,예민함,과시,불안정,무료함,고독,불행,보수적,삭막함,미세먼지,소멸,세속,부차적
경고, ,불안,거짓,단조로움,적막,비현실적, ,차가움,무기력,절망, , 
고통, ,위험,모순,의심,냉정,침체, ,공허,고집스러움,반항, , ,
